Transition(state=array([-0.5513977]), action=1, next_state=array([-0.38281483]), reward=-0.38281482779787934)
Transition(state=array([-0.13980536]), action=1, next_state=array([-0.10741005]), reward=-0.10741004671565876)
Transition(state=array([-0.10741005]), action=1, next_state=array([-0.01140677]), reward=-0.011406773362492281)
Transition(state=array([-0.01140677]), action=0, next_state=array([ 0.01633809]), reward=-0.016338091048953757)
Transition(state=array([ 0.01633809]), action=0, next_state=array([ 0.00818892]), reward=-0.008188921073725658)
Transition(state=array([ 0.00818892]), action=0, next_state=array([ 0.02462933]), reward=-0.0246293264475224)
Transition(state=array([ 0.02462933]), action=0, next_state=array([ 0.04505857]), reward=-0.04505857062022247)
Transition(state=array([ 0.04505857]), action=0, next_state=array([ 0.04515127]), reward=-0.045151265394927795)
Transition(state=array([ 0.04515127]), action=0, next_state=array([ 0.13019893]), reward=-0.13019892658399712)
Transition(state=array([ 0.13019893]), action=2, next_state=array([ 0.09200632]), reward=-0.09200632416562976)
Transition(state=array([ 0.09200632]), action=0, next_state=array([ 0.03289114]), reward=-0.03289113640705975)
Transition(state=array([ 0.03289114]), action=0, next_state=array([ 0.08380458]), reward=-0.08380457809812582)
Transition(state=array([ 0.08380458]), action=0, next_state=array([ 0.15312194]), reward=-0.15312193797352266)
Transition(state=array([ 0.15312194]), action=2, next_state=array([ 0.10052004]), reward=-0.10052003978554816)
Transition(state=array([ 0.10052004]), action=2, next_state=array([-0.08476814]), reward=-0.0847681413338553)
Transition(state=array([-0.08476814]), action=0, next_state=array([-0.10699586]), reward=-0.10699585970392246)
Transition(state=array([-0.10699586]), action=1, next_state=array([-0.09755692]), reward=-0.09755692018328271)
Transition(state=array([-0.09755692]), action=0, next_state=array([ 0.00072364]), reward=-0.0007236445185377915)
Transition(state=array([ 0.00072364]), action=0, next_state=array([ 0.01508072]), reward=-0.015080715648541344)
Transition(state=array([ 0.01508072]), action=0, next_state=array([ 0.03852908]), reward=-0.03852908096178334)
Transition(state=array([ 0.03852908]), action=0, next_state=array([ 0.03339174]), reward=-0.033391736018558854)
Transition(state=array([ 0.03339174]), action=0, next_state=array([-0.01649928]), reward=-0.016499283870811204)
Transition(state=array([-0.01649928]), action=0, next_state=array([ 0.0544243]), reward=-0.054424304193585224)
Transition(state=array([ 0.0544243]), action=0, next_state=array([-0.02542083]), reward=-0.02542082905318467)
Transition(state=array([-0.02542083]), action=0, next_state=array([-0.07676224]), reward=-0.07676224422116515)
Transition(state=array([-0.07676224]), action=0, next_state=array([-0.01053363]), reward=-0.010533628425671349)
Transition(state=array([-0.01053363]), action=0, next_state=array([ 0.0496836]), reward=-0.049683596237393636)
Transition(state=array([ 0.0496836]), action=0, next_state=array([ 0.12515055]), reward=-0.12515054732818603)
Transition(state=array([ 0.12515055]), action=2, next_state=array([ 0.11836614]), reward=-0.11836614358799394)
Transition(state=array([ 0.11836614]), action=2, next_state=array([ 0.04698073]), reward=-0.04698073227545699)
Transition(state=array([ 0.04698073]), action=0, next_state=array([-0.01591291]), reward=-0.015912906349079978)
Transition(state=array([-0.01591291]), action=0, next_state=array([ 0.01722032]), reward=-0.017220324898708374)
Transition(state=array([ 0.01722032]), action=0, next_state=array([-0.0186912]), reward=-0.018691196650492528)
Transition(state=array([-0.0186912]), action=0, next_state=array([ 0.06675509]), reward=-0.06675509480528921)
Transition(state=array([ 0.06675509]), action=0, next_state=array([ 0.1355858]), reward=-0.13558580453243244)
Transition(state=array([ 0.1355858]), action=2, next_state=array([ 0.03327081]), reward=-0.033270810748990465)
Transition(state=array([ 0.03327081]), action=0, next_state=array([-0.06386765]), reward=-0.0638676461433818)
Transition(state=array([-0.06386765]), action=0, next_state=array([-0.11421256]), reward=-0.11421255583619147)
Transition(state=array([-0.11421256]), action=1, next_state=array([ 0.03861161]), reward=-0.03861161372180397)
Transition(state=array([ 0.03861161]), action=0, next_state=array([ 0.12018324]), reward=-0.12018323744043993)
Transition(state=array([ 0.12018324]), action=2, next_state=array([ 0.02704267]), reward=-0.02704266556741647)
Transition(state=array([ 0.02704267]), action=0, next_state=array([ 0.08078056]), reward=-0.08078055692860044)
Transition(state=array([ 0.08078056]), action=0, next_state=array([ 0.1399901]), reward=-0.13999009737015872)
Transition(state=array([ 0.1399901]), action=2, next_state=array([ 0.06886288]), reward=-0.06886287893417228)
Transition(state=array([ 0.06886288]), action=0, next_state=array([ 0.04963328]), reward=-0.049633278220464254)
Transition(state=array([ 0.04963328]), action=0, next_state=array([ 0.10709044]), reward=-0.10709043876791584)
Transition(state=array([ 0.10709044]), action=2, next_state=array([-0.03971127]), reward=-0.039711272218325544)
Transition(state=array([-0.03971127]), action=0, next_state=array([-0.03725337]), reward=-0.03725337062239161)
Transition(state=array([-0.03725337]), action=0, next_state=array([-0.11756504]), reward=-0.11756503658753265)
Transition(state=array([-0.11756504]), action=1, next_state=array([ 0.05710502]), reward=-0.05710501794886748)
Transition(state=array([ 0.05710502]), action=0, next_state=array([ 0.02538009]), reward=-0.025380091122359207)
Transition(state=array([ 0.02538009]), action=0, next_state=array([ 0.00669883]), reward=-0.006698826023597983)
Transition(state=array([ 0.00669883]), action=0, next_state=array([-0.04395126]), reward=-0.04395126119797673)
Transition(state=array([-0.04395126]), action=0, next_state=array([-0.05309967]), reward=-0.05309967155946146)
Transition(state=array([-0.05309967]), action=0, next_state=array([-0.15038414]), reward=-0.15038414408018305)
Transition(state=array([-0.15038414]), action=1, next_state=array([-0.13310105]), reward=-0.13310104913321746)
Transition(state=array([-0.13310105]), action=1, next_state=array([ 0.03811085]), reward=-0.03811084807765143)
Transition(state=array([ 0.03811085]), action=0, next_state=array([-0.02095797]), reward=-0.02095796833238691)
Transition(state=array([-0.02095797]), action=0, next_state=array([-0.09181667]), reward=-0.09181666762958038)
Transition(state=array([-0.09181667]), action=0, next_state=array([-0.18702216]), reward=-0.18702215574954828)
Transition(state=array([-0.18702216]), action=1, next_state=array([-0.01285803]), reward=-0.012858032204554434)
Transition(state=array([-0.01285803]), action=0, next_state=array([-0.07018413]), reward=-0.07018413421580523)
Transition(state=array([-0.07018413]), action=0, next_state=array([-0.02098593]), reward=-0.02098593261998318)
Transition(state=array([-0.02098593]), action=0, next_state=array([-0.01810829]), reward=-0.01810829315269369)
Transition(state=array([-0.01810829]), action=0, next_state=array([-0.0484258]), reward=-0.04842580406044017)
Transition(state=array([-0.0484258]), action=0, next_state=array([-0.08971736]), reward=-0.0897173648960981)
Transition(state=array([-0.08971736]), action=0, next_state=array([-0.15769467]), reward=-0.15769467413980548)
Transition(state=array([-0.15769467]), action=1, next_state=array([-0.07371945]), reward=-0.07371945430653518)
Transition(state=array([-0.07371945]), action=0, next_state=array([ 0.00954803]), reward=-0.00954803310452701)
Transition(state=array([ 0.00954803]), action=0, next_state=array([ 0.09760747]), reward=-0.09760747156124175)
Transition(state=array([ 0.09760747]), action=0, next_state=array([ 0.04893441]), reward=-0.048934411456963714)
Transition(state=array([ 0.04893441]), action=0, next_state=array([-0.01729322]), reward=-0.0172932171948742)
Transition(state=array([-0.01729322]), action=0, next_state=array([ 0.06092441]), reward=-0.060924412020520846)
Transition(state=array([ 0.06092441]), action=0, next_state=array([-0.01807535]), reward=-0.018075345325383615)
Transition(state=array([-0.01807535]), action=0, next_state=array([ 0.05908139]), reward=-0.05908139308165963)
Transition(state=array([ 0.05908139]), action=0, next_state=array([ 0.04372892]), reward=-0.04372891564944502)
Transition(state=array([ 0.04372892]), action=0, next_state=array([ 0.0298067]), reward=-0.02980670455690329)
Transition(state=array([ 0.0298067]), action=0, next_state=array([-0.03163068]), reward=-0.03163067969822239)
Transition(state=array([-0.03163068]), action=0, next_state=array([-0.07205587]), reward=-0.07205586592752067)
Transition(state=array([-0.07205587]), action=0, next_state=array([-0.14693865]), reward=-0.1469386496148874)
Transition(state=array([-0.14693865]), action=1, next_state=array([-0.04253817]), reward=-0.042538174399225887)
Transition(state=array([-0.04253817]), action=0, next_state=array([-0.0005474]), reward=-0.0005473996635259396)
Transition(state=array([-0.0005474]), action=0, next_state=array([-0.00803377]), reward=-0.008033769009814375)
Transition(state=array([-0.00803377]), action=0, next_state=array([-0.0009244]), reward=-0.0009244047795325845)
Transition(state=array([-0.0009244]), action=0, next_state=array([-0.00683714]), reward=-0.006837140408643151)
Transition(state=array([-0.00683714]), action=0, next_state=array([ 0.01970033]), reward=-0.01970032895277435)
Transition(state=array([ 0.01970033]), action=0, next_state=array([ 0.04354617]), reward=-0.04354616563195616)
Transition(state=array([ 0.04354617]), action=0, next_state=array([ 0.11350545]), reward=-0.11350544979148172)
Transition(state=array([ 0.11350545]), action=2, next_state=array([ 0.08159471]), reward=-0.08159471073865446)
Transition(state=array([ 0.08159471]), action=0, next_state=array([ 0.04072929]), reward=-0.04072928931131392)
Transition(state=array([ 0.04072929]), action=0, next_state=array([ 0.06024878]), reward=-0.06024878216161007)
Transition(state=array([ 0.06024878]), action=0, next_state=array([ 0.06361051]), reward=-0.06361050534354276)
Transition(state=array([ 0.06361051]), action=0, next_state=array([ 0.1071849]), reward=-0.1071849012679364)
Transition(state=array([ 0.1071849]), action=2, next_state=array([-0.05902778]), reward=-0.05902778333019022)
Transition(state=array([-0.05902778]), action=0, next_state=array([-0.00087701]), reward=-0.0008770066753579359)
Transition(state=array([-0.00087701]), action=0, next_state=array([-0.06762898]), reward=-0.06762897944506416)
Transition(state=array([-0.06762898]), action=0, next_state=array([ 0.00875435]), reward=-0.008754353445324173)
Transition(state=array([ 0.00875435]), action=0, next_state=array([-0.06952653]), reward=-0.0695265324539854)
Transition(state=array([-0.06952653]), action=0, next_state=array([-0.10759364]), reward=-0.10759364043670183)
Transition(state=array([-0.10759364]), action=1, next_state=array([ 0.00548095]), reward=-0.005480951120812358)
Transition(state=array([ 0.00548095]), action=0, next_state=array([ 0.09859979]), reward=-0.09859979173326593)
Transition(state=array([ 0.09859979]), action=0, next_state=array([ 0.10025279]), reward=-0.10025278676250816)
Transition(state=array([-0.55473805]), action=1, next_state=array([-0.46144026]), reward=-0.4614402616104015)
Transition(state=array([-0.46144026]), action=1, next_state=array([-0.38268988]), reward=-0.3826898774258971)
Transition(state=array([-0.38268988]), action=1, next_state=array([-0.31408043]), reward=-0.3140804296459577)
Transition(state=array([-0.31408043]), action=1, next_state=array([-0.23375038]), reward=-0.2337503772656295)
Transition(state=array([-0.23375038]), action=1, next_state=array([-0.0891687]), reward=-0.08916869514675599)
Transition(state=array([-0.0891687]), action=0, next_state=array([-0.15608667]), reward=-0.1560866731230795)
Transition(state=array([-0.15608667]), action=1, next_state=array([-0.15575515]), reward=-0.15575514840673102)
Transition(state=array([-0.15575515]), action=1, next_state=array([-0.15450032]), reward=-0.15450032175329517)
Transition(state=array([-0.15450032]), action=1, next_state=array([-0.06597343]), reward=-0.06597342667235992)
Transition(state=array([-0.06597343]), action=0, next_state=array([ 0.01167958]), reward=-0.011679576914802495)
Transition(state=array([ 0.01167958]), action=0, next_state=array([-0.06563929]), reward=-0.06563929430282321)
Transition(state=array([-0.06563929]), action=0, next_state=array([ 0.02764302]), reward=-0.027643021728626177)
Transition(state=array([ 0.02764302]), action=0, next_state=array([ 0.07063585]), reward=-0.07063584825326821)
Transition(state=array([ 0.07063585]), action=0, next_state=array([-0.01402665]), reward=-0.014026646982215368)
Transition(state=array([-0.01402665]), action=0, next_state=array([-0.00440604]), reward=-0.00440604362782933)
Transition(state=array([-0.00440604]), action=0, next_state=array([ 0.02682244]), reward=-0.02682243546547647)
Transition(state=array([ 0.02682244]), action=0, next_state=array([-0.01880916]), reward=-0.018809163078759773)
Transition(state=array([-0.01880916]), action=0, next_state=array([ 0.04032947]), reward=-0.04032946651262988)
Transition(state=array([ 0.04032947]), action=0, next_state=array([-0.03624828]), reward=-0.03624827628331405)
Transition(state=array([-0.03624828]), action=0, next_state=array([-0.12719316]), reward=-0.12719316036150746)
Transition(state=array([-0.12719316]), action=1, next_state=array([-0.11448081]), reward=-0.1144808148220317)
Transition(state=array([-0.11448081]), action=1, next_state=array([ 0.03245007]), reward=-0.03245006979887452)
Transition(state=array([ 0.03245007]), action=0, next_state=array([ 0.00770097]), reward=-0.007700966739638507)
Transition(state=array([ 0.00770097]), action=0, next_state=array([ 0.09813411]), reward=-0.0981341089868087)
Transition(state=array([ 0.09813411]), action=0, next_state=array([ 0.13864294]), reward=-0.13864294317715176)
Transition(state=array([ 0.13864294]), action=2, next_state=array([ 0.01168275]), reward=-0.011682751178918122)
Transition(state=array([ 0.01168275]), action=0, next_state=array([-0.01015753]), reward=-0.010157530516010833)
Transition(state=array([-0.01015753]), action=0, next_state=array([ 0.00926867]), reward=-0.009268673120502252)
Transition(state=array([ 0.00926867]), action=0, next_state=array([-0.04532279]), reward=-0.04532278548874627)
Transition(state=array([-0.04532279]), action=0, next_state=array([-0.05889309]), reward=-0.05889309372326948)
Transition(state=array([-0.05889309]), action=0, next_state=array([-0.04979579]), reward=-0.04979578741338504)
Transition(state=array([-0.04979579]), action=0, next_state=array([-0.0175062]), reward=-0.01750620194412194)
Transition(state=array([-0.0175062]), action=0, next_state=array([ 0.02435926]), reward=-0.02435926270850159)
Transition(state=array([ 0.02435926]), action=0, next_state=array([ 0.11822466]), reward=-0.11822466464501172)
Transition(state=array([ 0.11822466]), action=2, next_state=array([ 0.028993]), reward=-0.02899299934072802)
Transition(state=array([ 0.028993]), action=0, next_state=array([ 0.07649024]), reward=-0.07649023880955097)
Transition(state=array([ 0.07649024]), action=0, next_state=array([ 0.0848286]), reward=-0.08482859974570682)
Transition(state=array([ 0.0848286]), action=0, next_state=array([-0.0131947]), reward=-0.013194695043627344)
Transition(state=array([-0.0131947]), action=0, next_state=array([-0.01404836]), reward=-0.014048355181590897)
Transition(state=array([-0.01404836]), action=0, next_state=array([ 0.01890651]), reward=-0.018906511827102113)
Transition(state=array([ 0.01890651]), action=0, next_state=array([ 0.04677848]), reward=-0.04677848486195099)
Transition(state=array([ 0.04677848]), action=0, next_state=array([ 0.06109709]), reward=-0.061097089352685555)
Transition(state=array([ 0.06109709]), action=0, next_state=array([ 0.15229406]), reward=-0.1522940577346282)
Transition(state=array([ 0.15229406]), action=2, next_state=array([ 0.01012722]), reward=-0.01012721881018655)
Transition(state=array([ 0.01012722]), action=0, next_state=array([ 0.02313173]), reward=-0.023131725246358675)
Transition(state=array([ 0.02313173]), action=0, next_state=array([ 0.06356791]), reward=-0.06356791001836687)
Transition(state=array([ 0.06356791]), action=0, next_state=array([-0.02376677]), reward=-0.02376677365261201)
Transition(state=array([-0.02376677]), action=0, next_state=array([ 0.03528992]), reward=-0.03528992167612074)
Transition(state=array([ 0.03528992]), action=0, next_state=array([-0.04661034]), reward=-0.046610338438309896)
Transition(state=array([-0.04661034]), action=0, next_state=array([-0.08519229]), reward=-0.08519228702674073)
Transition(state=array([-0.08519229]), action=0, next_state=array([-0.08417446]), reward=-0.08417446290636237)
Transition(state=array([-0.08417446]), action=0, next_state=array([-0.05430591]), reward=-0.054305913552138825)
Transition(state=array([-0.05430591]), action=0, next_state=array([ 0.0372096]), reward=-0.03720960441050052)
Transition(state=array([ 0.0372096]), action=0, next_state=array([-0.06028998]), reward=-0.06028997507471207)
Transition(state=array([-0.06028998]), action=0, next_state=array([ 0.01962159]), reward=-0.019621585078086527)
Transition(state=array([ 0.01962159]), action=0, next_state=array([-0.03565065]), reward=-0.03565064714843299)
Transition(state=array([-0.03565065]), action=0, next_state=array([-0.09890549]), reward=-0.09890549349069788)
Transition(state=array([-0.09890549]), action=0, next_state=array([-0.17420296]), reward=-0.17420296372231742)
Transition(state=array([-0.17420296]), action=1, next_state=array([-0.06566317]), reward=-0.06566316734224606)
Transition(state=array([-0.06566317]), action=0, next_state=array([-0.09084476]), reward=-0.09084476013224842)
Transition(state=array([-0.09084476]), action=0, next_state=array([ 0.00263527]), reward=-0.0026352744092010966)
Transition(state=array([ 0.00263527]), action=0, next_state=array([-0.00407295]), reward=-0.004072954544169525)
Transition(state=array([-0.00407295]), action=0, next_state=array([-0.00662627]), reward=-0.0066262713601824876)
Transition(state=array([-0.00662627]), action=0, next_state=array([ 0.09178019]), reward=-0.09178019023468123)
Transition(state=array([ 0.09178019]), action=0, next_state=array([ 0.06678683]), reward=-0.06678683289744075)
Transition(state=array([ 0.06678683]), action=0, next_state=array([ 0.00062]), reward=-0.000620000911006946)
Transition(state=array([ 0.00062]), action=0, next_state=array([ 0.00693998]), reward=-0.006939981199847856)
Transition(state=array([ 0.00693998]), action=0, next_state=array([ 0.03551286]), reward=-0.0355128606215846)
Transition(state=array([ 0.03551286]), action=0, next_state=array([-0.03929376]), reward=-0.03929376093211927)
Transition(state=array([-0.03929376]), action=0, next_state=array([-0.1286629]), reward=-0.12866290092991173)
Transition(state=array([-0.1286629]), action=1, next_state=array([-0.11720579]), reward=-0.11720579008460016)
Transition(state=array([-0.11720579]), action=1, next_state=array([-0.03134187]), reward=-0.0313418654586719)
Transition(state=array([-0.03134187]), action=0, next_state=array([-0.0160392]), reward=-0.016039197498528068)
Transition(state=array([-0.0160392]), action=0, next_state=array([-0.00240021]), reward=-0.002400213266100513)
Transition(state=array([-0.00240021]), action=0, next_state=array([ 0.04038205]), reward=-0.04038205384236302)
Transition(state=array([ 0.04038205]), action=0, next_state=array([ 0.05439694]), reward=-0.05439694135318485)
Transition(state=array([ 0.05439694]), action=0, next_state=array([ 0.06424473]), reward=-0.06424473396998875)
Transition(state=array([ 0.06424473]), action=0, next_state=array([ 0.09352745]), reward=-0.09352745100733632)
Transition(state=array([ 0.09352745]), action=0, next_state=array([ 0.03798568]), reward=-0.037985683238202436)
Transition(state=array([ 0.03798568]), action=0, next_state=array([ 0.10005554]), reward=-0.1000555403087808)
Transition(state=array([ 0.10005554]), action=2, next_state=array([ 0.08938973]), reward=-0.08938972511420834)
Transition(state=array([ 0.08938973]), action=0, next_state=array([ 0.0561628]), reward=-0.056162801337423164)
Transition(state=array([ 0.0561628]), action=0, next_state=array([ 0.0315824]), reward=-0.03158240236601565)
Transition(state=array([ 0.0315824]), action=0, next_state=array([ 0.1136317]), reward=-0.11363170185442203)
Transition(state=array([ 0.1136317]), action=2, next_state=array([ 0.01822966]), reward=-0.018229656253431342)
Transition(state=array([ 0.01822966]), action=0, next_state=array([ 0.07053196]), reward=-0.07053195823148893)
Transition(state=array([ 0.07053196]), action=0, next_state=array([ 0.11406798]), reward=-0.11406798335170767)
Transition(state=array([ 0.11406798]), action=2, next_state=array([ 0.08762883]), reward=-0.087628832387078)
Transition(state=array([ 0.08762883]), action=0, next_state=array([ 0.02313624]), reward=-0.023136243831210032)
Transition(state=array([ 0.02313624]), action=0, next_state=array([-0.05876681]), reward=-0.05876681424084214)
Transition(state=array([-0.05876681]), action=0, next_state=array([-0.08330405]), reward=-0.08330405471465935)
Transition(state=array([-0.08330405]), action=0, next_state=array([-0.00966625]), reward=-0.009666246239752596)
Transition(state=array([-0.00966625]), action=0, next_state=array([-0.02733164]), reward=-0.02733164122725581)
Transition(state=array([-0.02733164]), action=0, next_state=array([-0.03481108]), reward=-0.03481107948202603)
Transition(state=array([-0.03481108]), action=0, next_state=array([-0.12023304]), reward=-0.12023303930726312)
Transition(state=array([-0.12023304]), action=1, next_state=array([-0.0379911]), reward=-0.037991095827319354)
Transition(state=array([-0.0379911]), action=0, next_state=array([-0.05636828]), reward=-0.05636828046313004)
Transition(state=array([-0.05636828]), action=0, next_state=array([-0.06513505]), reward=-0.06513505486033726)
Transition(state=array([-0.06513505]), action=0, next_state=array([-0.15824596]), reward=-0.15824595845511893)
Transition(state=array([-0.15824596]), action=1, next_state=array([-0.06110073]), reward=-0.061100732043315925)
Transition(state=array([-0.06110073]), action=0, next_state=array([-0.12225201]), reward=-0.12225200795054614)
Transition(state=array([-0.12225201]), action=1, next_state=array([-0.08680814]), reward=-0.0868081417255814)
Transition(state=array([-0.08680814]), action=0, next_state=array([-0.10240277]), reward=-0.10240276739214221)
Transition(state=array([-0.10240277]), action=1, next_state=array([ 0.09521743]), reward=-0.09521743383979402)
Transition(state=array([ 0.09521743]), action=0, next_state=array([ 0.18910438]), reward=-0.18910438485812026)
Transition(state=array([ 0.18910438]), action=2, next_state=array([ 0.18102336]), reward=-0.18102336389109322)
Transition(state=array([ 0.18102336]), action=2, next_state=array([ 0.1572687]), reward=-0.15726870116030398)
Transition(state=array([ 0.1572687]), action=2, next_state=array([ 0.03644388]), reward=-0.03644388305409885)
Transition(state=array([ 0.03644388]), action=0, next_state=array([ 0.02431712]), reward=-0.02431712444155516)
Transition(state=array([ 0.02431712]), action=0, next_state=array([ 0.04893569]), reward=-0.04893569384996166)
Transition(state=array([ 0.04893569]), action=0, next_state=array([-0.04231548]), reward=-0.0423154837281679)
Transition(state=array([-0.04231548]), action=0, next_state=array([ 0.03931347]), reward=-0.03931347245048844)
Transition(state=array([ 0.03931347]), action=0, next_state=array([-0.03478082]), reward=-0.034780820910296245)
Transition(state=array([-0.03478082]), action=0, next_state=array([-0.0972772]), reward=-0.09727719609477081)
Transition(state=array([-0.0972772]), action=0, next_state=array([-0.0064234]), reward=-0.006423400457030062)
Transition(state=array([-0.0064234]), action=0, next_state=array([-0.08479932]), reward=-0.08479932418728937)
Transition(state=array([-0.08479932]), action=0, next_state=array([-0.12322796]), reward=-0.1232279575741057)
Transition(state=array([-0.12322796]), action=1, next_state=array([-0.04256557]), reward=-0.04256556910674755)
Transition(state=array([-0.04256557]), action=0, next_state=array([-0.01115814]), reward=-0.01115814170695887)
Transition(state=array([-0.01115814]), action=0, next_state=array([ 0.02328546]), reward=-0.02328546196443136)
Transition(state=array([ 0.02328546]), action=0, next_state=array([-0.05283249]), reward=-0.05283249183079115)
Transition(state=array([-0.05283249]), action=0, next_state=array([-0.06412383]), reward=-0.06412383055962548)
Transition(state=array([-0.06412383]), action=0, next_state=array([ 0.00252779]), reward=-0.002527794968394878)
Transition(state=array([ 0.00252779]), action=0, next_state=array([-0.05360812]), reward=-0.053608117673622106)
Transition(state=array([-0.05360812]), action=0, next_state=array([-0.13507967]), reward=-0.13507966526846354)
Transition(state=array([-0.13507967]), action=1, next_state=array([ 0.05658138]), reward=-0.05658137915684311)
Transition(state=array([ 0.05658138]), action=0, next_state=array([-0.02512757]), reward=-0.02512757437330118)
Transition(state=array([-0.02512757]), action=0, next_state=array([ 0.05461325]), reward=-0.05461325001606847)
Transition(state=array([ 0.05461325]), action=0, next_state=array([ 0.08730905]), reward=-0.08730905413810502)
Transition(state=array([ 0.08730905]), action=0, next_state=array([ 0.16516153]), reward=-0.16516152649183957)
Transition(state=array([ 0.16516153]), action=2, next_state=array([ 0.11138845]), reward=-0.11138845175426937)
Transition(state=array([ 0.11138845]), action=2, next_state=array([ 0.07447968]), reward=-0.07447968360572402)
Transition(state=array([ 0.07447968]), action=0, next_state=array([ 0.09626045]), reward=-0.09626044887906048)
Transition(state=array([ 0.09626045]), action=0, next_state=array([ 0.11124291]), reward=-0.11124290670619627)
Transition(state=array([ 0.11124291]), action=2, next_state=array([ 0.04633936]), reward=-0.04633936207062053)
Transition(state=array([ 0.04633936]), action=0, next_state=array([-0.00578834]), reward=-0.005788342791975792)
Transition(state=array([-0.00578834]), action=0, next_state=array([-0.01780121]), reward=-0.017801208307700996)
Transition(state=array([-0.01780121]), action=0, next_state=array([ 0.07972669]), reward=-0.07972668715126677)
Transition(state=array([ 0.07972669]), action=0, next_state=array([ 0.16424077]), reward=-0.16424077097353718)
Transition(state=array([ 0.16424077]), action=2, next_state=array([ 0.08282119]), reward=-0.08282119010794178)
Transition(state=array([ 0.08282119]), action=0, next_state=array([ 0.13672544]), reward=-0.13672543978338147)
Transition(state=array([ 0.13672544]), action=2, next_state=array([ 0.00259851]), reward=-0.002598509384848971)
Transition(state=array([ 0.00259851]), action=0, next_state=array([ 0.02715762]), reward=-0.027157621992696373)
Transition(state=array([ 0.02715762]), action=0, next_state=array([-0.01625087]), reward=-0.01625086648109887)
Transition(state=array([-0.01625087]), action=0, next_state=array([ 0.03950525]), reward=-0.03950524992909836)
Transition(state=array([ 0.03950525]), action=0, next_state=array([ 0.03129252]), reward=-0.031292518898850805)
Transition(state=array([ 0.03129252]), action=0, next_state=array([ 0.0416112]), reward=-0.04161120057834002)
Transition(state=array([ 0.0416112]), action=0, next_state=array([-0.05429718]), reward=-0.05429717798923648)
Transition(state=array([-0.05429718]), action=0, next_state=array([-0.01236795]), reward=-0.012367948754492451)
Transition(state=array([-0.01236795]), action=0, next_state=array([-0.04287899]), reward=-0.04287898623564139)
Transition(state=array([-0.04287899]), action=0, next_state=array([ 0.04349631]), reward=-0.04349630802881828)
Transition(state=array([ 0.04349631]), action=0, next_state=array([ 0.12433865]), reward=-0.12433865065484083)
Transition(state=array([ 0.12433865]), action=2, next_state=array([ 0.06857389]), reward=-0.06857389216314785)
Transition(state=array([ 0.06857389]), action=0, next_state=array([ 0.0921596]), reward=-0.0921595960500115)
Transition(state=array([ 0.0921596]), action=0, next_state=array([ 0.01184416]), reward=-0.01184415710036904)
Transition(state=array([ 0.01184416]), action=0, next_state=array([-0.07424177]), reward=-0.07424176647018803)
Transition(state=array([-0.07424177]), action=0, next_state=array([ 0.01263185]), reward=-0.012631854524438227)
Transition(state=array([ 0.01263185]), action=0, next_state=array([-0.02837669]), reward=-0.028376691728867122)
Transition(state=array([-0.02837669]), action=0, next_state=array([ 0.04157392]), reward=-0.04157392373986688)
Transition(state=array([ 0.04157392]), action=0, next_state=array([ 0.04296833]), reward=-0.04296833359323156)
Transition(state=array([ 0.04296833]), action=0, next_state=array([-0.05309328]), reward=-0.05309328182528798)
Transition(state=array([-0.05309328]), action=0, next_state=array([-0.00458377]), reward=-0.004583774699445722)
Transition(state=array([-0.00458377]), action=0, next_state=array([ 0.04883478]), reward=-0.04883478140304952)
Transition(state=array([ 0.04883478]), action=0, next_state=array([ 0.04506385]), reward=-0.04506385004222589)
Transition(state=array([ 0.04506385]), action=0, next_state=array([-0.04989387]), reward=-0.04989387023596027)
Transition(state=array([-0.04989387]), action=0, next_state=array([-0.06135478]), reward=-0.061354784494602445)
Transition(state=array([-0.06135478]), action=0, next_state=array([-0.14003229]), reward=-0.14003228717416985)
Transition(state=array([-0.14003229]), action=1, next_state=array([-0.02098077]), reward=-0.020980767978263468)
Transition(state=array([-0.02098077]), action=0, next_state=array([-0.08434319]), reward=-0.08434319150462155)
Transition(state=array([-0.08434319]), action=0, next_state=array([-0.05386464]), reward=-0.0538646401955968)
Transition(state=array([-0.05386464]), action=0, next_state=array([ 0.00690769]), reward=-0.006907685486575173)
Transition(state=array([ 0.00690769]), action=0, next_state=array([-0.01736513]), reward=-0.01736513323968038)
Transition(state=array([-0.01736513]), action=0, next_state=array([ 0.04199236]), reward=-0.04199236319883662)
Transition(state=array([ 0.04199236]), action=0, next_state=array([ 0.0148493]), reward=-0.0148493043915966)
Transition(state=array([ 0.0148493]), action=0, next_state=array([-0.01182015]), reward=-0.011820148315299605)
Transition(state=array([-0.01182015]), action=0, next_state=array([-0.05385844]), reward=-0.0538584435758369)
Transition(state=array([-0.05385844]), action=0, next_state=array([-0.12890868]), reward=-0.12890868060109328)
Transition(state=array([-0.12890868]), action=1, next_state=array([-0.09820887]), reward=-0.09820887292939859)
Transition(state=array([-0.09820887]), action=0, next_state=array([-0.05360619]), reward=-0.05360619354147222)
Transition(state=array([-0.05360619]), action=0, next_state=array([ 0.03049357]), reward=-0.030493566218047406)
Transition(state=array([ 0.03049357]), action=0, next_state=array([ 0.03713009]), reward=-0.037130085645103436)
Transition(state=array([ 0.03713009]), action=0, next_state=array([-0.0343195]), reward=-0.03431949954838903)
Transition(state=array([-0.0343195]), action=0, next_state=array([ 0.03538631]), reward=-0.035386312223751826)
