Transition(state=array([ 0.14800801, -0.50084984]), action=3, next_state=array([-0.01572656, -0.55180145]), reward=-0.5518014543660551)
Transition(state=array([ 0.31884837, -0.00446903]), action=2, next_state=array([ 0.02329958, -0.01297617]), reward=-0.02329958305829216)
Transition(state=array([ 0.02329958, -0.01297617]), action=1, next_state=array([-0.03477571, -0.02937327]), reward=-0.0347757114503337)
Transition(state=array([-0.03477571, -0.02937327]), action=1, next_state=array([ 0.10466108, -0.12343627]), reward=-0.12343626575793265)
Transition(state=array([ 0.10466108, -0.12343627]), action=3, next_state=array([ 0.15914492, -0.19238646]), reward=-0.192386458330387)
Transition(state=array([ 0.15914492, -0.19238646]), action=3, next_state=array([0.05902967, 0.02264086]), reward=-0.059029665118014135)
Transition(state=array([0.05902967, 0.02264086]), action=0, next_state=array([-0.05697763,  0.17732424]), reward=-0.17732424326607202)
Transition(state=array([-0.05697763,  0.17732424]), action=4, next_state=array([-0.10077568, -0.11955812]), reward=-0.11955812003808503)
Transition(state=array([-0.10077568, -0.11955812]), action=1, next_state=array([-0.15651379, -0.24672727]), reward=-0.246727271468872)
Transition(state=array([-0.15651379, -0.24672727]), action=1, next_state=array([ 0.05740664, -0.06819577]), reward=-0.06819576755517348)
Transition(state=array([ 0.05740664, -0.06819577]), action=0, next_state=array([-0.08210538, -0.15711757]), reward=-0.1571175701332359)
Transition(state=array([-0.08210538, -0.15711757]), action=1, next_state=array([ 0.19453848, -0.05220597]), reward=-0.19453848300715865)
Transition(state=array([ 0.19453848, -0.05220597]), action=2, next_state=array([0.10778303, 0.00494481]), reward=-0.10778302983828433)
Transition(state=array([0.10778303, 0.00494481]), action=0, next_state=array([ 0.12774793, -0.16726155]), reward=-0.16726154558382184)
Transition(state=array([ 0.12774793, -0.16726155]), action=3, next_state=array([ 0.25841664, -0.24511531]), reward=-0.2584166369177928)
Transition(state=array([ 0.25841664, -0.24511531]), action=2, next_state=array([ 0.02300968, -0.21053887]), reward=-0.21053887194341975)
Transition(state=array([ 0.02300968, -0.21053887]), action=3, next_state=array([-0.095246  , -0.20845733]), reward=-0.20845733365538047)
Transition(state=array([-0.095246  , -0.20845733]), action=1, next_state=array([ 0.17801584, -0.37310572]), reward=-0.3731057218350372)
Transition(state=array([ 0.17801584, -0.37310572]), action=3, next_state=array([ 0.05193583, -0.4448788 ]), reward=-0.44487880363768917)
Transition(state=array([ 0.05193583, -0.4448788 ]), action=3, next_state=array([ 0.16192074, -0.41847052]), reward=-0.41847051879467)
Transition(state=array([ 0.16192074, -0.41847052]), action=3, next_state=array([-0.03758741, -0.28544016]), reward=-0.28544015620386054)
Transition(state=array([-0.03758741, -0.28544016]), action=3, next_state=array([ 0.08039552, -0.29696893]), reward=-0.2969689332415074)
Transition(state=array([ 0.08039552, -0.29696893]), action=3, next_state=array([ 0.04288584, -0.22804109]), reward=-0.22804109350674315)
Transition(state=array([ 0.04288584, -0.22804109]), action=3, next_state=array([ 0.24270971, -0.02647111]), reward=-0.242709706211581)
Transition(state=array([ 0.24270971, -0.02647111]), action=2, next_state=array([-0.00806063,  0.02103823]), reward=-0.02103822948809312)
Transition(state=array([-0.00806063,  0.02103823]), action=1, next_state=array([0.06271289, 0.1916767 ]), reward=-0.19167669829735282)
Transition(state=array([0.06271289, 0.1916767 ]), action=4, next_state=array([-0.11363626,  0.15048092]), reward=-0.15048091567871233)
Transition(state=array([-0.11363626,  0.15048092]), action=1, next_state=array([0.09008243, 0.05752131]), reward=-0.09008243237368257)
Transition(state=array([0.09008243, 0.05752131]), action=0, next_state=array([ 0.00746164, -0.12481645]), reward=-0.12481645063309094)
Transition(state=array([ 0.00746164, -0.12481645]), action=1, next_state=array([-0.05610485, -0.26310423]), reward=-0.2631042331216612)
Transition(state=array([-0.05610485, -0.26310423]), action=3, next_state=array([ 0.06842047, -0.31690389]), reward=-0.316903891272012)
Transition(state=array([ 0.06842047, -0.31690389]), action=3, next_state=array([ 0.17503169, -0.04950972]), reward=-0.1750316857127714)
Transition(state=array([ 0.17503169, -0.04950972]), action=2, next_state=array([ 0.26496053, -0.04693785]), reward=-0.2649605297230463)
Transition(state=array([ 0.26496053, -0.04693785]), action=2, next_state=array([0.15466152, 0.07338479]), reward=-0.15466152089757254)
Transition(state=array([0.15466152, 0.07338479]), action=2, next_state=array([0.16367698, 0.00968772]), reward=-0.16367697535279488)
Transition(state=array([0.16367698, 0.00968772]), action=2, next_state=array([0.12111108, 0.17494918]), reward=-0.17494918147923094)
Transition(state=array([0.12111108, 0.17494918]), action=4, next_state=array([0.22145152, 0.19795853]), reward=-0.22145152263339102)
Transition(state=array([0.22145152, 0.19795853]), action=2, next_state=array([0.25765911, 0.268745  ]), reward=-0.26874500203241086)
Transition(state=array([0.25765911, 0.268745  ]), action=4, next_state=array([0.22767454, 0.24280715]), reward=-0.2428071547452437)
Transition(state=array([0.22767454, 0.24280715]), action=4, next_state=array([0.30206137, 0.16180025]), reward=-0.30206136935249195)
Transition(state=array([0.30206137, 0.16180025]), action=2, next_state=array([0.34075924, 0.20397322]), reward=-0.3407592439155319)
Transition(state=array([0.34075924, 0.20397322]), action=2, next_state=array([0.34408996, 0.22959157]), reward=-0.34408996203526443)
Transition(state=array([0.34408996, 0.22959157]), action=2, next_state=array([0.32715657, 0.16888663]), reward=-0.3271565739813693)
Transition(state=array([0.32715657, 0.16888663]), action=2, next_state=array([0.27718403, 0.31998486]), reward=-0.3199848576873363)
Transition(state=array([0.27718403, 0.31998486]), action=4, next_state=array([0.36924897, 0.40591897]), reward=-0.4059189726435243)
Transition(state=array([0.36924897, 0.40591897]), action=4, next_state=array([0.37494191, 0.22971356]), reward=-0.3749419134596018)
Transition(state=array([0.37494191, 0.22971356]), action=2, next_state=array([0.45743218, 0.17908062]), reward=-0.45743217675854775)
Transition(state=array([0.45743218, 0.17908062]), action=2, next_state=array([0.44206287, 0.00897998]), reward=-0.4420628685180418)
Transition(state=array([0.44206287, 0.00897998]), action=2, next_state=array([ 0.28693093, -0.10097522]), reward=-0.2869309312107121)
Transition(state=array([ 0.28693093, -0.10097522]), action=2, next_state=array([ 0.21111443, -0.04629938]), reward=-0.21111443141640815)
Transition(state=array([ 0.21111443, -0.04629938]), action=2, next_state=array([-0.07785883, -0.1278273 ]), reward=-0.1278272959189034)
Transition(state=array([-0.07785883, -0.1278273 ]), action=1, next_state=array([ 0.01870096, -0.17910402]), reward=-0.17910401654718083)
Transition(state=array([ 0.01870096, -0.17910402]), action=3, next_state=array([-0.17212445, -0.0730061 ]), reward=-0.172124451918088)
Transition(state=array([-0.17212445, -0.0730061 ]), action=1, next_state=array([-0.23006145,  0.01563461]), reward=-0.23006144572079487)
Transition(state=array([-0.23006145,  0.01563461]), action=1, next_state=array([-0.24487887,  0.10782805]), reward=-0.24487886668427786)
Transition(state=array([-0.24487887,  0.10782805]), action=1, next_state=array([-0.15126647, -0.09073767]), reward=-0.1512664699703339)
Transition(state=array([-0.15126647, -0.09073767]), action=1, next_state=array([-0.02048406, -0.22261964]), reward=-0.22261964398064193)
Transition(state=array([-0.02048406, -0.22261964]), action=3, next_state=array([-0.08454123, -0.0700431 ]), reward=-0.08454123358875083)
Transition(state=array([-0.08454123, -0.0700431 ]), action=1, next_state=array([-0.04920903, -0.22798273]), reward=-0.22798273304670572)
Transition(state=array([-0.04920903, -0.22798273]), action=1, next_state=array([ 0.0081964 , -0.40982469]), reward=-0.4098246909371259)
Transition(state=array([ 0.0081964 , -0.40982469]), action=3, next_state=array([-0.19046238, -0.2713457 ]), reward=-0.2713457044488181)
Transition(state=array([-0.19046238, -0.2713457 ]), action=1, next_state=array([ 0.03476047, -0.29018381]), reward=-0.2901838101695276)
Transition(state=array([ 0.03476047, -0.29018381]), action=3, next_state=array([-0.15775719, -0.15319072]), reward=-0.15775718950219825)
Transition(state=array([-0.15775719, -0.15319072]), action=1, next_state=array([ 0.07144978, -0.12155857]), reward=-0.12155857423839547)
Transition(state=array([ 0.07144978, -0.12155857]), action=3, next_state=array([ 0.23301983, -0.14009859]), reward=-0.23301983278969227)
Transition(state=array([ 0.23301983, -0.14009859]), action=2, next_state=array([ 0.11842033, -0.12261132]), reward=-0.12261131717386521)
Transition(state=array([ 0.11842033, -0.12261132]), action=3, next_state=array([ 0.0516328, -0.0644808]), reward=-0.06448080395388636)
Transition(state=array([ 0.0516328, -0.0644808]), action=0, next_state=array([ 0.07850639, -0.22287558]), reward=-0.2228755798881851)
Transition(state=array([ 0.07850639, -0.22287558]), action=3, next_state=array([ 0.24469247, -0.15748333]), reward=-0.24469247282557433)
Transition(state=array([ 0.24469247, -0.15748333]), action=2, next_state=array([ 0.0719002, -0.1900452]), reward=-0.19004520422615315)
Transition(state=array([ 0.0719002, -0.1900452]), action=3, next_state=array([0.12822278, 0.01585696]), reward=-0.12822278361622758)
Transition(state=array([0.12822278, 0.01585696]), action=2, next_state=array([-0.09092973,  0.18404844]), reward=-0.18404843606983387)
Transition(state=array([-0.09092973,  0.18404844]), action=4, next_state=array([0.07618555, 0.02065955]), reward=-0.07618554851070611)
Transition(state=array([0.07618555, 0.02065955]), action=0, next_state=array([0.18517676, 0.0266315 ]), reward=-0.18517675896828367)
Transition(state=array([0.18517676, 0.0266315 ]), action=2, next_state=array([-0.03628569,  0.10723198]), reward=-0.10723197746046001)
Transition(state=array([-0.03628569,  0.10723198]), action=1, next_state=array([-0.04155237, -0.0557528 ]), reward=-0.055752797115730085)
Transition(state=array([-0.04155237, -0.0557528 ]), action=1, next_state=array([0.0043613 , 0.08081918]), reward=-0.08081917767613889)
Transition(state=array([0.0043613 , 0.08081918]), action=1, next_state=array([0.22639628, 0.07333994]), reward=-0.22639628309895424)
Transition(state=array([0.22639628, 0.07333994]), action=2, next_state=array([ 0.22741524, -0.03059245]), reward=-0.22741523677157835)
Transition(state=array([ 0.22741524, -0.03059245]), action=2, next_state=array([-0.0085222 , -0.07405977]), reward=-0.07405977382454956)
Transition(state=array([-0.0085222 , -0.07405977]), action=1, next_state=array([ 0.05772521, -0.1007986 ]), reward=-0.10079859797026738)
Transition(state=array([ 0.05772521, -0.1007986 ]), action=0, next_state=array([ 0.11046335, -0.29672242]), reward=-0.2967224229503237)
Transition(state=array([ 0.11046335, -0.29672242]), action=3, next_state=array([ 0.2631732, -0.1822841]), reward=-0.26317319653322446)
Transition(state=array([ 0.2631732, -0.1822841]), action=2, next_state=array([ 0.04434075, -0.03821874]), reward=-0.04434074726582196)
Transition(state=array([ 0.04434075, -0.03821874]), action=1, next_state=array([-0.00484887, -0.22794305]), reward=-0.2279430465702687)
Transition(state=array([-0.00484887, -0.22794305]), action=3, next_state=array([ 0.09149438, -0.24492295]), reward=-0.24492295420765628)
Transition(state=array([ 0.09149438, -0.24492295]), action=3, next_state=array([ 0.01621552, -0.04176915]), reward=-0.04176915106611512)
Transition(state=array([ 0.01621552, -0.04176915]), action=1, next_state=array([ 0.17409393, -0.19365566]), reward=-0.19365565765191148)
Transition(state=array([ 0.0092635, -0.0798043]), action=1, next_state=array([ 0.25683665, -0.01566806]), reward=-0.2568366545868295)
Transition(state=array([ 0.25683665, -0.01566806]), action=2, next_state=array([ 0.29756926, -0.03365096]), reward=-0.29756926157265706)
Transition(state=array([ 0.29756926, -0.03365096]), action=2, next_state=array([0.24708534, 0.16175334]), reward=-0.24708534272567276)
Transition(state=array([0.24708534, 0.16175334]), action=2, next_state=array([0.29496698, 0.31525893]), reward=-0.3152589327706581)
Transition(state=array([0.29496698, 0.31525893]), action=4, next_state=array([0.2533515 , 0.27707778]), reward=-0.2770777795500353)
Transition(state=array([0.2533515 , 0.27707778]), action=4, next_state=array([0.10515181, 0.01162415]), reward=-0.10515180870236657)
Transition(state=array([0.10515181, 0.01162415]), action=0, next_state=array([-0.05334742,  0.09986247]), reward=-0.09986247263679765)
Transition(state=array([-0.05334742,  0.09986247]), action=1, next_state=array([0.1747681 , 0.04354925]), reward=-0.17476810196503104)
Transition(state=array([0.1747681 , 0.04354925]), action=2, next_state=array([ 0.06749691, -0.13577229]), reward=-0.13577229092372436)
Transition(state=array([ 0.06749691, -0.13577229]), action=3, next_state=array([0.17282603, 0.0140517 ]), reward=-0.17282602841766093)
Transition(state=array([0.17282603, 0.0140517 ]), action=2, next_state=array([0.18731326, 0.16726387]), reward=-0.18731325651410421)
Transition(state=array([0.18731326, 0.16726387]), action=2, next_state=array([0.01738167, 0.30228715]), reward=-0.3022871497557609)
Transition(state=array([0.01738167, 0.30228715]), action=4, next_state=array([-0.09559077,  0.38164911]), reward=-0.3816491094764748)
Transition(state=array([-0.09559077,  0.38164911]), action=4, next_state=array([-0.17701294,  0.41589079]), reward=-0.41589079026691966)
Transition(state=array([-0.17701294,  0.41589079]), action=4, next_state=array([-0.05301374,  0.2621077 ]), reward=-0.262107704134355)
Transition(state=array([-0.05301374,  0.2621077 ]), action=4, next_state=array([-0.21382777,  0.14224364]), reward=-0.21382776720598878)
Transition(state=array([-0.21382777,  0.14224364]), action=1, next_state=array([ 0.08187479, -0.02654625]), reward=-0.08187478618408073)
Transition(state=array([ 0.08187479, -0.02654625]), action=0, next_state=array([0.17528008, 0.04940313]), reward=-0.17528008262435524)
Transition(state=array([0.17528008, 0.04940313]), action=2, next_state=array([ 0.25204215, -0.00288434]), reward=-0.25204214738572495)
Transition(state=array([ 0.25204215, -0.00288434]), action=2, next_state=array([0.2640384 , 0.18932139]), reward=-0.2640383991644727)
Transition(state=array([0.2640384 , 0.18932139]), action=2, next_state=array([0.29121794, 0.08488432]), reward=-0.2912179401573498)
Transition(state=array([0.29121794, 0.08488432]), action=2, next_state=array([0.07277724, 0.16072666]), reward=-0.16072665807127598)
Transition(state=array([0.07277724, 0.16072666]), action=4, next_state=array([0.10150993, 0.15373786]), reward=-0.15373786368909945)
Transition(state=array([0.10150993, 0.15373786]), action=4, next_state=array([ 0.21762018, -0.08000954]), reward=-0.21762017532200095)
Transition(state=array([ 0.21762018, -0.08000954]), action=2, next_state=array([-0.04293725, -0.23590714]), reward=-0.23590714307960722)
Transition(state=array([-0.04293725, -0.23590714]), action=3, next_state=array([ 0.0950345 , -0.29314617]), reward=-0.29314616881503663)
Transition(state=array([ 0.0950345 , -0.29314617]), action=3, next_state=array([ 0.13174861, -0.2056041 ]), reward=-0.2056040966780381)
Transition(state=array([ 0.13174861, -0.2056041 ]), action=3, next_state=array([0.03293068, 0.02786366]), reward=-0.032930683955001344)
Transition(state=array([0.03293068, 0.02786366]), action=0, next_state=array([-0.14847445, -0.16339424]), reward=-0.1633942423635658)
Transition(state=array([-0.14847445, -0.16339424]), action=1, next_state=array([-0.1259511 , -0.17857017]), reward=-0.1785701725971222)
Transition(state=array([-0.1259511 , -0.17857017]), action=1, next_state=array([-0.01030689, -0.01866788]), reward=-0.01866787990128002)
Transition(state=array([-0.01030689, -0.01866788]), action=1, next_state=array([ 0.19147813, -0.02802027]), reward=-0.19147812683946164)
Transition(state=array([ 0.19147813, -0.02802027]), action=2, next_state=array([0.03670628, 0.06709797]), reward=-0.06709796704141086)
Transition(state=array([0.03670628, 0.06709797]), action=0, next_state=array([-0.01267914,  0.07642385]), reward=-0.07642385335351726)
Transition(state=array([-0.01267914,  0.07642385]), action=1, next_state=array([ 0.20637488, -0.12140593]), reward=-0.20637487821561348)
Transition(state=array([ 0.20637488, -0.12140593]), action=2, next_state=array([-0.05471904, -0.05121512]), reward=-0.05471903855201121)
Transition(state=array([-0.05471904, -0.05121512]), action=1, next_state=array([0.10889472, 0.05743468]), reward=-0.10889471530041116)
Transition(state=array([0.10889472, 0.05743468]), action=0, next_state=array([-0.02022589, -0.00201496]), reward=-0.020225890600181304)
Transition(state=array([-0.02022589, -0.00201496]), action=1, next_state=array([0.25766471, 0.00475633]), reward=-0.25766471260558754)
Transition(state=array([0.25766471, 0.00475633]), action=2, next_state=array([ 0.04504724, -0.06271021]), reward=-0.06271021319792118)
Transition(state=array([ 0.04504724, -0.06271021]), action=1, next_state=array([-0.00619214, -0.0734506 ]), reward=-0.07345059735582264)
Transition(state=array([-0.00619214, -0.0734506 ]), action=1, next_state=array([ 0.08267106, -0.05810397]), reward=-0.08267106030543334)
Transition(state=array([ 0.08267106, -0.05810397]), action=0, next_state=array([-0.07185895,  0.05620808]), reward=-0.07185895026132816)
Transition(state=array([-0.07185895,  0.05620808]), action=1, next_state=array([-0.16029353,  0.10049499]), reward=-0.1602935328164755)
Transition(state=array([-0.16029353,  0.10049499]), action=1, next_state=array([-0.14727189,  0.07069216]), reward=-0.14727189094048326)
Transition(state=array([-0.14727189,  0.07069216]), action=1, next_state=array([-0.00586158,  0.22669125]), reward=-0.22669124937951265)
Transition(state=array([-0.00586158,  0.22669125]), action=4, next_state=array([-0.02251448,  0.09093009]), reward=-0.09093008766645089)
Transition(state=array([-0.02251448,  0.09093009]), action=1, next_state=array([ 0.19032495, -0.01446127]), reward=-0.19032495115118295)
Transition(state=array([ 0.19032495, -0.01446127]), action=2, next_state=array([-0.03366952, -0.20016621]), reward=-0.20016621478593438)
Transition(state=array([-0.03366952, -0.20016621]), action=1, next_state=array([-0.00842088, -0.15714663]), reward=-0.15714662626994644)
Transition(state=array([-0.00842088, -0.15714663]), action=1, next_state=array([-0.06597601, -0.32756401]), reward=-0.327564006464387)
Transition(state=array([-0.06597601, -0.32756401]), action=3, next_state=array([-0.09797286, -0.3241631 ]), reward=-0.324163100751371)
Transition(state=array([-0.09797286, -0.3241631 ]), action=3, next_state=array([-0.26792277, -0.31850286]), reward=-0.3185028553751932)
Transition(state=array([-0.26792277, -0.31850286]), action=1, next_state=array([-0.30199642, -0.12523558]), reward=-0.3019964230793012)
Transition(state=array([-0.30199642, -0.12523558]), action=1, next_state=array([-0.3990938 , -0.20019582]), reward=-0.39909380454978993)
Transition(state=array([-0.3990938 , -0.20019582]), action=1, next_state=array([-0.45037146, -0.13021467]), reward=-0.45037145760567787)
Transition(state=array([-0.45037146, -0.13021467]), action=1, next_state=array([-0.3374394 , -0.30123974]), reward=-0.337439398830114)
Transition(state=array([-0.3374394 , -0.30123974]), action=1, next_state=array([-0.31165637, -0.24032899]), reward=-0.3116563669911162)
Transition(state=array([-0.31165637, -0.24032899]), action=1, next_state=array([-0.23160619, -0.3462892 ]), reward=-0.3462892011332263)
Transition(state=array([-0.23160619, -0.3462892 ]), action=1, next_state=array([-0.09719161, -0.41373487]), reward=-0.4137348742179315)
Transition(state=array([-0.09719161, -0.41373487]), action=3, next_state=array([-0.28764247, -0.11445463]), reward=-0.28764247273142024)
Transition(state=array([-0.28764247, -0.11445463]), action=1, next_state=array([-0.34540736, -0.18056603]), reward=-0.3454073570212358)
Transition(state=array([-0.34540736, -0.18056603]), action=1, next_state=array([-0.40937513, -0.0564182 ]), reward=-0.4093751264496507)
Transition(state=array([-0.40937513, -0.0564182 ]), action=1, next_state=array([-0.43224285,  0.0920811 ]), reward=-0.43224285217621816)
Transition(state=array([-0.43224285,  0.0920811 ]), action=1, next_state=array([-0.35634423,  0.19938727]), reward=-0.35634422870236615)
Transition(state=array([-0.35634423,  0.19938727]), action=1, next_state=array([-0.09821504,  0.26403199]), reward=-0.26403198522430626)
Transition(state=array([-0.09821504,  0.26403199]), action=4, next_state=array([-0.0921129,  0.0076988]), reward=-0.09211289575891544)
Transition(state=array([-0.0921129,  0.0076988]), action=1, next_state=array([ 0.08498298, -0.1786679 ]), reward=-0.17866789784347456)
Transition(state=array([ 0.08498298, -0.1786679 ]), action=3, next_state=array([-0.08865326, -0.02029048]), reward=-0.08865325807831688)
Transition(state=array([-0.08865326, -0.02029048]), action=1, next_state=array([-0.10106782, -0.20610314]), reward=-0.20610314411369943)
Transition(state=array([-0.10106782, -0.20610314]), action=1, next_state=array([-0.01544407, -0.40264943]), reward=-0.4026494292684919)
Transition(state=array([-0.01544407, -0.40264943]), action=3, next_state=array([-0.17036376, -0.13626384]), reward=-0.1703637602720808)
Transition(state=array([-0.17036376, -0.13626384]), action=1, next_state=array([-0.26128906,  0.00266976]), reward=-0.2612890633531665)
Transition(state=array([-0.26128906,  0.00266976]), action=1, next_state=array([-0.03496664, -0.11440902]), reward=-0.11440901934902523)
Transition(state=array([-0.03496664, -0.11440902]), action=1, next_state=array([0.20909467, 0.06070611]), reward=-0.20909466581374195)
Transition(state=array([0.20909467, 0.06070611]), action=2, next_state=array([-0.05577276,  0.10283714]), reward=-0.10283713775539974)
Transition(state=array([-0.05577276,  0.10283714]), action=1, next_state=array([-0.11220124,  0.0603015 ]), reward=-0.1122012351399145)
Transition(state=array([-0.11220124,  0.0603015 ]), action=1, next_state=array([-0.20266948,  0.09119136]), reward=-0.20266948077867966)
Transition(state=array([-0.20266948,  0.09119136]), action=1, next_state=array([-0.03640873,  0.02305536]), reward=-0.036408727531872825)
Transition(state=array([-0.03640873,  0.02305536]), action=1, next_state=array([-0.07250865,  0.17447292]), reward=-0.1744729188738734)
Transition(state=array([-0.07250865,  0.17447292]), action=4, next_state=array([-0.27009357, -0.02419546]), reward=-0.2700935653709613)
Transition(state=array([-0.27009357, -0.02419546]), action=1, next_state=array([-0.32105295, -0.21898191]), reward=-0.3210529512603886)
Transition(state=array([-0.32105295, -0.21898191]), action=1, next_state=array([-0.22295345, -0.17972588]), reward=-0.22295344748774923)
Transition(state=array([-0.22295345, -0.17972588]), action=1, next_state=array([-0.0438793 , -0.21544339]), reward=-0.21544339042173608)
Transition(state=array([-0.0438793 , -0.21544339]), action=1, next_state=array([ 0.16242526, -0.33349447]), reward=-0.3334944695373613)
Transition(state=array([ 0.16242526, -0.33349447]), action=3, next_state=array([ 0.10648209, -0.03949106]), reward=-0.10648209171414497)
Transition(state=array([ 0.10648209, -0.03949106]), action=0, next_state=array([ 0.04737897, -0.08892282]), reward=-0.0889228190316033)
Transition(state=array([ 0.04737897, -0.08892282]), action=1, next_state=array([ 0.00653173, -0.28667427]), reward=-0.28667427111581617)
Transition(state=array([ 0.00653173, -0.28667427]), action=3, next_state=array([-0.08612634, -0.07408996]), reward=-0.08612634057317133)
Transition(state=array([-0.08612634, -0.07408996]), action=1, next_state=array([-0.06092537,  0.03293798]), reward=-0.06092536860352374)
Transition(state=array([-0.06092537,  0.03293798]), action=1, next_state=array([0.12152548, 0.02610482]), reward=-0.12152547696103744)
Transition(state=array([0.12152548, 0.02610482]), action=2, next_state=array([-0.14991166,  0.14235975]), reward=-0.14991166352290156)
Transition(state=array([-0.14991166,  0.14235975]), action=1, next_state=array([-0.0511203 ,  0.12028447]), reward=-0.1202844657542054)
Transition(state=array([-0.0511203 ,  0.12028447]), action=1, next_state=array([-0.0611142 ,  0.06369176]), reward=-0.06369175836005776)
Transition(state=array([-0.0611142 ,  0.06369176]), action=1, next_state=array([-0.14097144,  0.17595206]), reward=-0.17595205592185392)
Transition(state=array([-0.14097144,  0.17595206]), action=1, next_state=array([0.11286586, 0.22351184]), reward=-0.22351183896064292)
Transition(state=array([0.11286586, 0.22351184]), action=4, next_state=array([0.2784755 , 0.21699134]), reward=-0.2784754989853123)
Transition(state=array([0.2784755 , 0.21699134]), action=2, next_state=array([0.24380209, 0.15462716]), reward=-0.2438020924333513)
Transition(state=array([0.24380209, 0.15462716]), action=2, next_state=array([0.17774051, 0.03987246]), reward=-0.17774051309721164)
Transition(state=array([0.17774051, 0.03987246]), action=2, next_state=array([0.06308368, 0.01650947]), reward=-0.06308367974649914)
Transition(state=array([0.06308368, 0.01650947]), action=0, next_state=array([-0.01981704,  0.10863966]), reward=-0.10863965754248937)
Transition(state=array([-0.01981704,  0.10863966]), action=1, next_state=array([0.14953987, 0.30699577]), reward=-0.3069957678735966)
Transition(state=array([0.14953987, 0.30699577]), action=4, next_state=array([0.13115847, 0.14774172]), reward=-0.14774172082559706)
Transition(state=array([0.13115847, 0.14774172]), action=4, next_state=array([ 0.27142988, -0.06076591]), reward=-0.27142988407869995)
Transition(state=array([ 0.27142988, -0.06076591]), action=2, next_state=array([0.15903622, 0.10435529]), reward=-0.1590362229578173)
Transition(state=array([0.15903622, 0.10435529]), action=2, next_state=array([-0.09622699,  0.30396728]), reward=-0.3039672793527531)
Transition(state=array([-0.09622699,  0.30396728]), action=4, next_state=array([-0.19226388,  0.0220451 ]), reward=-0.1922638808769256)
Transition(state=array([-0.19226388,  0.0220451 ]), action=1, next_state=array([-0.04918182, -0.14284243]), reward=-0.1428424349605806)
Transition(state=array([-0.04918182, -0.14284243]), action=1, next_state=array([ 0.01209675, -0.11863718]), reward=-0.11863718288208579)
Transition(state=array([ 0.01209675, -0.11863718]), action=1, next_state=array([ 0.16484644, -0.27030203]), reward=-0.2703020262092928)
Transition(state=array([ 0.16484644, -0.27030203]), action=3, next_state=array([-0.01505323, -0.32715626]), reward=-0.32715626298112643)
Transition(state=array([-0.01505323, -0.32715626]), action=3, next_state=array([-0.18930383, -0.05921949]), reward=-0.18930383132056047)
Transition(state=array([-0.18930383, -0.05921949]), action=1, next_state=array([0.09627982, 0.12433576]), reward=-0.12433575546416767)
Transition(state=array([0.09627982, 0.12433576]), action=4, next_state=array([-0.04066126, -0.09638863]), reward=-0.09638862786276642)
Transition(state=array([-0.04066126, -0.09638863]), action=1, next_state=array([ 0.17236063, -0.05775647]), reward=-0.17236062813723524)
Transition(state=array([ 0.17236063, -0.05775647]), action=2, next_state=array([ 0.24774728, -0.19921077]), reward=-0.2477472771580482)
Transition(state=array([ 0.24774728, -0.19921077]), action=2, next_state=array([ 0.30199106, -0.27443541]), reward=-0.3019910602609097)
Transition(state=array([ 0.30199106, -0.27443541]), action=3, next_state=array([ 0.20121048, -0.07276997]), reward=-0.20121047957100932)
Transition(state=array([ 0.20121048, -0.07276997]), action=2, next_state=array([-0.0002113 , -0.05358566]), reward=-0.05358565652626027)
Transition(state=array([-0.0002113 , -0.05358566]), action=1, next_state=array([0.24542737, 0.1175888 ]), reward=-0.2454273695051651)
Transition(state=array([0.24542737, 0.1175888 ]), action=2, next_state=array([-0.00937921,  0.30268547]), reward=-0.3026854711268395)
Transition(state=array([-0.00937921,  0.30268547]), action=4, next_state=array([0.00786659, 0.3393402 ]), reward=-0.339340197586254)
Transition(state=array([0.00786659, 0.3393402 ]), action=4, next_state=array([0.18131967, 0.41682488]), reward=-0.4168248819149566)
Transition(state=array([0.18131967, 0.41682488]), action=4, next_state=array([0.02609247, 0.13328634]), reward=-0.133286337026276)
Transition(state=array([0.02609247, 0.13328634]), action=4, next_state=array([-0.07767139, -0.0706021 ]), reward=-0.0776713939618408)
Transition(state=array([-0.07767139, -0.0706021 ]), action=1, next_state=array([-0.01049118,  0.01628271]), reward=-0.01628271118492884)
Transition(state=array([-0.01049118,  0.01628271]), action=1, next_state=array([ 0.00528483, -0.06462647]), reward=-0.06462647396810063)
Transition(state=array([ 0.00528483, -0.06462647]), action=1, next_state=array([ 0.04736261, -0.01965928]), reward=-0.047362612230677475)
Transition(state=array([ 0.04736261, -0.01965928]), action=0, next_state=array([0.07648005, 0.10783423]), reward=-0.10783422728148938)
Transition(state=array([0.07648005, 0.10783423]), action=4, next_state=array([ 0.11001857, -0.17712922]), reward=-0.17712922157692246)
Transition(state=array([ 0.11001857, -0.17712922]), action=3, next_state=array([-0.0808767 ,  0.09157796]), reward=-0.09157796040545066)
Transition(state=array([-0.0808767 ,  0.09157796]), action=1, next_state=array([0.07059615, 0.26026929]), reward=-0.2602692880767077)
Transition(state=array([0.07059615, 0.26026929]), action=4, next_state=array([0.01541791, 0.02325571]), reward=-0.0232557105769588)
Transition(state=array([0.01541791, 0.02325571]), action=1, next_state=array([ 0.20607482, -0.0589576 ]), reward=-0.20607482046851433)
Transition(state=array([ 0.20607482, -0.0589576 ]), action=2, next_state=array([ 0.18655591, -0.094759  ]), reward=-0.18655591384169765)
