Transition(state=array([ 0.34884428]), action=2, next_state=array([ 0.20823562]), reward=-0.20823562097070777)
Transition(state=array([-0.92053836]), action=1, next_state=array([-0.67866904]), reward=-0.6786690413744579)
Transition(state=array([-0.67866904]), action=0, next_state=array([-0.50994749]), reward=-0.5099474918211694)
Transition(state=array([-0.50994749]), action=0, next_state=array([-0.53408126]), reward=-0.5340812634109895)
Transition(state=array([-0.53408126]), action=1, next_state=array([-0.39864553]), reward=-0.39864553255903545)
Transition(state=array([-0.39864553]), action=2, next_state=array([-0.49037896]), reward=-0.49037896340657317)
Transition(state=array([-0.49037896]), action=0, next_state=array([-0.40418883]), reward=-0.40418882660719874)
Transition(state=array([-0.40418883]), action=1, next_state=array([-0.1731328]), reward=-0.17313280068044898)
Transition(state=array([-0.1731328]), action=1, next_state=array([-0.10677683]), reward=-0.10677683371673896)
Transition(state=array([-0.10677683]), action=0, next_state=array([-0.07646154]), reward=-0.07646153841034135)
Transition(state=array([-0.07646154]), action=1, next_state=array([ 0.1125259]), reward=-0.11252590400047101)
Transition(state=array([ 0.1125259]), action=2, next_state=array([-0.06875875]), reward=-0.06875874849601692)
Transition(state=array([-0.06875875]), action=2, next_state=array([-0.06476182]), reward=-0.06476181686991547)
Transition(state=array([-0.06476182]), action=1, next_state=array([ 0.12886906]), reward=-0.12886905568998025)
Transition(state=array([ 0.12886906]), action=1, next_state=array([ 0.23926526]), reward=-0.2392652562699022)
Transition(state=array([ 0.23926526]), action=2, next_state=array([-0.0018265]), reward=-0.0018265042876796644)
Transition(state=array([-0.0018265]), action=1, next_state=array([ 0.24785327]), reward=-0.24785327255729434)
Transition(state=array([ 0.24785327]), action=2, next_state=array([ 0.14930573]), reward=-0.1493057259443318)
Transition(state=array([ 0.14930573]), action=2, next_state=array([ 0.07800764]), reward=-0.07800764495750528)
Transition(state=array([ 0.07800764]), action=2, next_state=array([ 0.09233498]), reward=-0.09233497572792987)
Transition(state=array([ 0.09233498]), action=2, next_state=array([ 0.18355077]), reward=-0.18355076696151504)
Transition(state=array([ 0.18355077]), action=1, next_state=array([ 0.09192913]), reward=-0.09192913208813694)
Transition(state=array([ 0.09192913]), action=0, next_state=array([ 0.13616971]), reward=-0.1361697133939248)
Transition(state=array([ 0.13616971]), action=2, next_state=array([-0.09563866]), reward=-0.09563866335572446)
Transition(state=array([-0.09563866]), action=2, next_state=array([-0.13543506]), reward=-0.13543506486303358)
Transition(state=array([-0.13543506]), action=2, next_state=array([-0.38677296]), reward=-0.386772957273364)
Transition(state=array([-0.38677296]), action=0, next_state=array([-0.52146574]), reward=-0.5214657362008244)
Transition(state=array([-0.52146574]), action=1, next_state=array([-0.29766973]), reward=-0.29766972653187895)
Transition(state=array([-0.29766973]), action=2, next_state=array([-0.43266603]), reward=-0.43266603344627497)
Transition(state=array([-0.43266603]), action=1, next_state=array([-0.47252657]), reward=-0.4725265736646491)
Transition(state=array([-0.47252657]), action=2, next_state=array([-0.66080422]), reward=-0.6608042190196982)
Transition(state=array([-0.66080422]), action=2, next_state=array([-0.84429541]), reward=-0.8442954139660963)
Transition(state=array([-0.84429541]), action=0, next_state=array([-0.96861118]), reward=-0.9686111775206824)
Transition(state=array([-0.96861118]), action=0, next_state=array([-0.8868357]), reward=-0.8868356991027007)
Transition(state=array([-0.8868357]), action=1, next_state=array([-0.97651597]), reward=-0.9765159665303901)
Transition(state=array([-0.97651597]), action=2, next_state=array([-0.99060547]), reward=-0.9906054722550665)
Transition(state=array([-0.99060547]), action=1, next_state=array([-0.82732888]), reward=-0.8273288816205329)
Transition(state=array([-0.82732888]), action=1, next_state=array([-0.67556695]), reward=-0.6755669453643217)
Transition(state=array([-0.67556695]), action=2, next_state=array([-0.66585929]), reward=-0.6658592905585489)
Transition(state=array([-0.66585929]), action=1, next_state=array([-0.53187781]), reward=-0.5318778125559203)
Transition(state=array([-0.53187781]), action=2, next_state=array([-0.65885501]), reward=-0.6588550064500684)
Transition(state=array([-0.65885501]), action=1, next_state=array([-0.36764488]), reward=-0.36764487663579504)
Transition(state=array([-0.36764488]), action=2, next_state=array([-0.41832147]), reward=-0.4183214746512768)
Transition(state=array([-0.41832147]), action=2, next_state=array([-0.71205661]), reward=-0.7120566052489051)
Transition(state=array([-0.71205661]), action=1, next_state=array([-0.71210102]), reward=-0.7121010162492313)
Transition(state=array([-0.71210102]), action=0, next_state=array([-0.71196505]), reward=-0.7119650494554125)
Transition(state=array([-0.71196505]), action=1, next_state=array([-0.6659169]), reward=-0.6659169018799318)
Transition(state=array([-0.6659169]), action=2, next_state=array([-0.65353999]), reward=-0.6535399878331264)
Transition(state=array([-0.65353999]), action=1, next_state=array([-0.4410492]), reward=-0.44104919811979604)
Transition(state=array([-0.4410492]), action=1, next_state=array([-0.16065127]), reward=-0.16065127395579046)
Transition(state=array([-0.16065127]), action=0, next_state=array([-0.00568867]), reward=-0.005688665008078991)
Transition(state=array([-0.00568867]), action=2, next_state=array([-0.30308115]), reward=-0.30308114642479056)
Transition(state=array([-0.30308115]), action=2, next_state=array([-0.58352783]), reward=-0.5835278338872778)
Transition(state=array([-0.58352783]), action=2, next_state=array([-0.68936667]), reward=-0.6893666654776743)
Transition(state=array([-0.68936667]), action=2, next_state=array([-0.96070039]), reward=-0.960700390763645)
Transition(state=array([-0.96070039]), action=1, next_state=array([-1.00943393]), reward=-113.0565998968189)
Transition(state=array([ 0.24796788]), action=2, next_state=array([ 0.32170403]), reward=-0.3217040327177906)
Transition(state=array([ 0.32170403]), action=0, next_state=array([ 0.14633125]), reward=-0.14633124982284543)
Transition(state=array([ 0.14633125]), action=0, next_state=array([ 0.31198085]), reward=-0.31198084564778267)
Transition(state=array([ 0.31198085]), action=0, next_state=array([ 0.39856121]), reward=-0.39856120614995577)
Transition(state=array([ 0.39856121]), action=2, next_state=array([ 0.38684198]), reward=-0.3868419828379204)
Transition(state=array([ 0.38684198]), action=1, next_state=array([ 0.5785698]), reward=-0.5785697969336268)
Transition(state=array([ 0.5785698]), action=0, next_state=array([ 0.56175295]), reward=-0.5617529482011054)
Transition(state=array([ 0.56175295]), action=2, next_state=array([ 0.41767026]), reward=-0.4176702590470388)
Transition(state=array([ 0.41767026]), action=2, next_state=array([ 0.42534192]), reward=-0.42534191626607143)
Transition(state=array([ 0.42534192]), action=1, next_state=array([ 0.69696202]), reward=-0.6969620201524686)
Transition(state=array([ 0.69696202]), action=1, next_state=array([ 0.72756493]), reward=-0.727564925300172)
Transition(state=array([ 0.72756493]), action=2, next_state=array([ 0.60449321]), reward=-0.6044932142218162)
Transition(state=array([ 0.60449321]), action=2, next_state=array([ 0.40122038]), reward=-0.4012203824778291)
Transition(state=array([ 0.40122038]), action=1, next_state=array([ 0.31923593]), reward=-0.3192359297349854)
Transition(state=array([ 0.31923593]), action=0, next_state=array([ 0.44861489]), reward=-0.4486148885610254)
Transition(state=array([ 0.44861489]), action=1, next_state=array([ 0.4164257]), reward=-0.41642569609880786)
Transition(state=array([ 0.4164257]), action=0, next_state=array([ 0.21887941]), reward=-0.21887941170934577)
Transition(state=array([ 0.21887941]), action=1, next_state=array([ 0.20032081]), reward=-0.20032081312383712)
Transition(state=array([ 0.20032081]), action=2, next_state=array([ 0.09399736]), reward=-0.09399735540438953)
Transition(state=array([ 0.09399736]), action=0, next_state=array([ 0.09902035]), reward=-0.09902035357682254)
Transition(state=array([ 0.09902035]), action=0, next_state=array([ 0.00936515]), reward=-0.009365151676751213)
Transition(state=array([ 0.00936515]), action=1, next_state=array([ 0.27547405]), reward=-0.2754740458534779)
Transition(state=array([ 0.27547405]), action=2, next_state=array([ 0.13061752]), reward=-0.13061751601664356)
Transition(state=array([ 0.13061752]), action=2, next_state=array([-0.00046447]), reward=-0.00046447256362475153)
Transition(state=array([-0.00046447]), action=0, next_state=array([-0.19938922]), reward=-0.19938922440974854)
Transition(state=array([-0.19938922]), action=1, next_state=array([-0.16823199]), reward=-0.16823198934204334)
Transition(state=array([-0.16823199]), action=1, next_state=array([-0.07498234]), reward=-0.07498234449576885)
Transition(state=array([-0.07498234]), action=2, next_state=array([-0.08730483]), reward=-0.08730482821478301)
Transition(state=array([-0.08730483]), action=2, next_state=array([-0.21172103]), reward=-0.21172103016526406)
Transition(state=array([-0.21172103]), action=1, next_state=array([-0.05567942]), reward=-0.055679424536468874)
Transition(state=array([-0.05567942]), action=0, next_state=array([-0.07245518]), reward=-0.07245518313044383)
Transition(state=array([-0.07245518]), action=1, next_state=array([-0.02196732]), reward=-0.02196731641154981)
Transition(state=array([-0.02196732]), action=2, next_state=array([-0.1853642]), reward=-0.18536420495061237)
Transition(state=array([-0.1853642]), action=2, next_state=array([-0.30821494]), reward=-0.30821494408301753)
Transition(state=array([-0.30821494]), action=2, next_state=array([-0.32301656]), reward=-0.3230165568395945)
Transition(state=array([-0.32301656]), action=2, next_state=array([-0.53670834]), reward=-0.5367083354720705)
Transition(state=array([-0.53670834]), action=2, next_state=array([-0.67495421]), reward=-0.6749542133356733)
Transition(state=array([-0.67495421]), action=1, next_state=array([-0.47471869]), reward=-0.4747186866952722)
Transition(state=array([-0.47471869]), action=0, next_state=array([-0.61286614]), reward=-0.6128661448217955)
Transition(state=array([-0.61286614]), action=1, next_state=array([-0.65020934]), reward=-0.6502093422823221)
Transition(state=array([-0.65020934]), action=1, next_state=array([-0.66824969]), reward=-0.6682496875908204)
Transition(state=array([-0.66824969]), action=0, next_state=array([-0.83052951]), reward=-0.8305295105427284)
Transition(state=array([-0.83052951]), action=1, next_state=array([-0.54655095]), reward=-0.5465509498182922)
Transition(state=array([-0.54655095]), action=2, next_state=array([-0.83927913]), reward=-0.8392791297348383)
Transition(state=array([-0.83927913]), action=1, next_state=array([-0.87882673]), reward=-0.8788267250931399)
Transition(state=array([-0.87882673]), action=1, next_state=array([-0.62464613]), reward=-0.624646128876845)
Transition(state=array([-0.62464613]), action=2, next_state=array([-0.80840616]), reward=-0.8084061613427637)
Transition(state=array([-0.80840616]), action=2, next_state=array([-1.08269534]), reward=-164.5696922350238)
Transition(state=array([-0.28961943]), action=1, next_state=array([-0.36313924]), reward=-0.3631392443029292)
Transition(state=array([-0.36313924]), action=1, next_state=array([-0.29035439]), reward=-0.2903543893519426)
Transition(state=array([-0.29035439]), action=1, next_state=array([-0.02177863]), reward=-0.021778633733742975)
Transition(state=array([-0.02177863]), action=2, next_state=array([-0.17838409]), reward=-0.17838408522631707)
Transition(state=array([-0.17838409]), action=0, next_state=array([-0.18431555]), reward=-0.18431555176480288)
Transition(state=array([-0.18431555]), action=2, next_state=array([-0.25069408]), reward=-0.2506940808203878)
Transition(state=array([-0.25069408]), action=1, next_state=array([-0.10600696]), reward=-0.10600696077436705)
Transition(state=array([-0.10600696]), action=1, next_state=array([-0.09794956]), reward=-0.09794956047401931)
Transition(state=array([-0.09794956]), action=2, next_state=array([-0.23328626]), reward=-0.23328626013058731)
Transition(state=array([-0.23328626]), action=1, next_state=array([-0.00034559]), reward=-0.0003455882056399573)
Transition(state=array([-0.00034559]), action=0, next_state=array([-0.01418132]), reward=-0.01418132325422773)
Transition(state=array([-0.01418132]), action=0, next_state=array([-0.04209272]), reward=-0.04209272154024179)
Transition(state=array([-0.04209272]), action=2, next_state=array([-0.11597579]), reward=-0.11597578808286638)
Transition(state=array([-0.11597579]), action=1, next_state=array([ 0.02747869]), reward=-0.027478685647495074)
Transition(state=array([ 0.02747869]), action=0, next_state=array([-0.07439467]), reward=-0.07439467494498411)
Transition(state=array([-0.07439467]), action=1, next_state=array([ 0.14834555]), reward=-0.14834554503007835)
Transition(state=array([ 0.14834555]), action=2, next_state=array([ 0.01622057]), reward=-0.016220569687046577)
Transition(state=array([ 0.01622057]), action=0, next_state=array([ 0.05148136]), reward=-0.05148135563552046)
Transition(state=array([ 0.05148136]), action=1, next_state=array([ 0.16803885]), reward=-0.1680388470552253)
Transition(state=array([ 0.16803885]), action=1, next_state=array([ 0.41089362]), reward=-0.410893617428136)
Transition(state=array([ 0.41089362]), action=2, next_state=array([ 0.30166393]), reward=-0.30166393084249565)
Transition(state=array([ 0.30166393]), action=0, next_state=array([ 0.20381827]), reward=-0.20381826963509586)
Transition(state=array([ 0.20381827]), action=0, next_state=array([ 0.19125958]), reward=-0.19125957653320796)
Transition(state=array([ 0.19125958]), action=1, next_state=array([ 0.18268827]), reward=-0.18268826651914136)
Transition(state=array([ 0.18268827]), action=2, next_state=array([-0.06309155]), reward=-0.06309155226161306)
Transition(state=array([-0.06309155]), action=2, next_state=array([-0.23228789]), reward=-0.23228788990327656)
Transition(state=array([-0.23228789]), action=1, next_state=array([-0.33031567]), reward=-0.3303156708409052)
Transition(state=array([-0.33031567]), action=0, next_state=array([-0.39373429]), reward=-0.39373429496990203)
Transition(state=array([-0.39373429]), action=1, next_state=array([-0.45184356]), reward=-0.4518435644464448)
Transition(state=array([-0.45184356]), action=2, next_state=array([-0.70025705]), reward=-0.7002570543838099)
Transition(state=array([-0.70025705]), action=1, next_state=array([-0.43662982]), reward=-0.4366298168415169)
Transition(state=array([-0.43662982]), action=2, next_state=array([-0.44980118]), reward=-0.44980117850662926)
Transition(state=array([-0.44980118]), action=1, next_state=array([-0.35179006]), reward=-0.3517900618740287)
Transition(state=array([-0.35179006]), action=1, next_state=array([-0.40224485]), reward=-0.40224484647822634)
Transition(state=array([-0.40224485]), action=1, next_state=array([-0.41195396]), reward=-0.41195396037856247)
Transition(state=array([-0.41195396]), action=1, next_state=array([-0.26969745]), reward=-0.2696974492433135)
Transition(state=array([-0.26969745]), action=1, next_state=array([ 0.02918541]), reward=-0.029185411809672296)
Transition(state=array([ 0.02918541]), action=1, next_state=array([ 0.30075495]), reward=-0.3007549487862256)
Transition(state=array([ 0.30075495]), action=1, next_state=array([ 0.45844648]), reward=-0.4584464751736922)
Transition(state=array([ 0.45844648]), action=2, next_state=array([ 0.42008762]), reward=-0.42008762499229646)
Transition(state=array([ 0.42008762]), action=0, next_state=array([ 0.29440397]), reward=-0.2944039704082592)
Transition(state=array([ 0.29440397]), action=0, next_state=array([ 0.37354555]), reward=-0.3735455475038375)
Transition(state=array([ 0.37354555]), action=1, next_state=array([ 0.30877624]), reward=-0.30877624417533234)
Transition(state=array([ 0.30877624]), action=1, next_state=array([ 0.35933641]), reward=-0.3593364116630018)
Transition(state=array([ 0.35933641]), action=1, next_state=array([ 0.34975595]), reward=-0.3497559537142283)
Transition(state=array([ 0.34975595]), action=1, next_state=array([ 0.39047112]), reward=-0.3904711198940931)
Transition(state=array([ 0.39047112]), action=1, next_state=array([ 0.48728356]), reward=-0.4872835613271431)
Transition(state=array([ 0.48728356]), action=2, next_state=array([ 0.53806717]), reward=-0.538067168286449)
Transition(state=array([ 0.53806717]), action=2, next_state=array([ 0.50611602]), reward=-0.5061160191417564)
Transition(state=array([ 0.50611602]), action=1, next_state=array([ 0.64881148]), reward=-0.6488114837628356)
Transition(state=array([ 0.64881148]), action=1, next_state=array([ 0.6239218]), reward=-0.6239217985528198)
Transition(state=array([ 0.6239218]), action=1, next_state=array([ 0.85728031]), reward=-0.8572803098959881)
Transition(state=array([ 0.85728031]), action=1, next_state=array([ 1.05868314]), reward=-155.62642123517674)
Transition(state=array([ 0.01868542]), action=2, next_state=array([ 0.09075216]), reward=-0.09075215562248423)
Transition(state=array([ 0.09075216]), action=1, next_state=array([ 0.30855028]), reward=-0.30855027743221564)
Transition(state=array([ 0.30855028]), action=2, next_state=array([ 0.02761858]), reward=-0.02761857969273543)
Transition(state=array([ 0.02761858]), action=0, next_state=array([-0.08323745]), reward=-0.0832374531604915)
Transition(state=array([-0.08323745]), action=2, next_state=array([-0.23794566]), reward=-0.23794565960449138)
Transition(state=array([-0.23794566]), action=1, next_state=array([-0.14557548]), reward=-0.14557548291019842)
Transition(state=array([-0.14557548]), action=1, next_state=array([-0.09758978]), reward=-0.09758977711372113)
Transition(state=array([-0.09758978]), action=2, next_state=array([-0.3063259]), reward=-0.30632589764895246)
Transition(state=array([-0.3063259]), action=1, next_state=array([-0.38133487]), reward=-0.3813348744183189)
Transition(state=array([-0.38133487]), action=0, next_state=array([-0.41828254]), reward=-0.41828253662427894)
Transition(state=array([-0.41828254]), action=1, next_state=array([-0.31193752]), reward=-0.31193751647279844)
Transition(state=array([-0.31193752]), action=0, next_state=array([-0.18796124]), reward=-0.18796124360019534)
Transition(state=array([-0.18796124]), action=2, next_state=array([-0.12670493]), reward=-0.12670492990042972)
Transition(state=array([-0.12670493]), action=1, next_state=array([-0.16883392]), reward=-0.1688339243434331)
Transition(state=array([-0.16883392]), action=2, next_state=array([-0.11034831]), reward=-0.1103483095634899)
Transition(state=array([-0.11034831]), action=0, next_state=array([ 0.06431472]), reward=-0.06431472218069606)
Transition(state=array([ 0.06431472]), action=1, next_state=array([ 0.07141573]), reward=-0.07141573195689518)
Transition(state=array([ 0.07141573]), action=2, next_state=array([-0.19724761]), reward=-0.19724760848942505)
Transition(state=array([-0.19724761]), action=1, next_state=array([-0.12423161]), reward=-0.12423161007849323)
Transition(state=array([-0.12423161]), action=0, next_state=array([-0.12888698]), reward=-0.12888697804081653)
Transition(state=array([-0.12888698]), action=1, next_state=array([-0.13344517]), reward=-0.13344517211899026)
Transition(state=array([-0.13344517]), action=0, next_state=array([-0.05006254]), reward=-0.050062544468841674)
Transition(state=array([-0.05006254]), action=0, next_state=array([-0.0342708]), reward=-0.03427079973771417)
Transition(state=array([-0.0342708]), action=0, next_state=array([ 0.03695253]), reward=-0.03695253246663616)
Transition(state=array([ 0.03695253]), action=0, next_state=array([-0.08152536]), reward=-0.0815253566465033)
Transition(state=array([-0.08152536]), action=1, next_state=array([-0.01998055]), reward=-0.019980553419850694)
Transition(state=array([-0.01998055]), action=2, next_state=array([-0.21947043]), reward=-0.2194704319503767)
Transition(state=array([-0.21947043]), action=0, next_state=array([-0.27138461]), reward=-0.2713846096160516)
Transition(state=array([-0.27138461]), action=2, next_state=array([-0.45838533]), reward=-0.4583853315621276)
Transition(state=array([-0.45838533]), action=2, next_state=array([-0.51194896]), reward=-0.5119489614852487)
Transition(state=array([-0.51194896]), action=1, next_state=array([-0.45173691]), reward=-0.451736906728902)
Transition(state=array([-0.45173691]), action=1, next_state=array([-0.2255245]), reward=-0.22552449793513282)
Transition(state=array([-0.2255245]), action=2, next_state=array([-0.13217432]), reward=-0.13217431881669892)
Transition(state=array([-0.13217432]), action=0, next_state=array([-0.12279366]), reward=-0.12279366339328121)
Transition(state=array([-0.12279366]), action=1, next_state=array([-0.18199396]), reward=-0.1819939617992253)
Transition(state=array([-0.18199396]), action=1, next_state=array([-0.08264816]), reward=-0.08264816121483823)
Transition(state=array([-0.08264816]), action=0, next_state=array([ 0.10156135]), reward=-0.10156134740821401)
Transition(state=array([ 0.10156135]), action=1, next_state=array([ 0.08639198]), reward=-0.08639198313733576)
Transition(state=array([ 0.08639198]), action=0, next_state=array([ 0.27172918]), reward=-0.2717291780478376)
Transition(state=array([ 0.27172918]), action=1, next_state=array([ 0.2094105]), reward=-0.20941050328702449)
Transition(state=array([ 0.2094105]), action=1, next_state=array([ 0.49938255]), reward=-0.4993825537314194)
Transition(state=array([ 0.49938255]), action=1, next_state=array([ 0.52513658]), reward=-0.5251365804214371)
Transition(state=array([ 0.52513658]), action=2, next_state=array([ 0.59176321]), reward=-0.5917632087013343)
Transition(state=array([ 0.59176321]), action=1, next_state=array([ 0.77486695]), reward=-0.7748669484900365)
Transition(state=array([ 0.77486695]), action=1, next_state=array([ 0.67984579]), reward=-0.6798457933212523)
Transition(state=array([ 0.67984579]), action=2, next_state=array([ 0.67362461]), reward=-0.6736246061547475)
Transition(state=array([ 0.67362461]), action=0, next_state=array([ 0.65591962]), reward=-0.6559196205322206)
Transition(state=array([ 0.65591962]), action=2, next_state=array([ 0.4953497]), reward=-0.4953496966844253)
Transition(state=array([ 0.4953497]), action=2, next_state=array([ 0.551187]), reward=-0.5511870021315205)
Transition(state=array([ 0.551187]), action=2, next_state=array([ 0.43685]), reward=-0.43685000095384585)
Transition(state=array([ 0.43685]), action=1, next_state=array([ 0.69802509]), reward=-0.6980250893073537)
Transition(state=array([ 0.69802509]), action=1, next_state=array([ 0.83901546]), reward=-0.8390154566410424)
Transition(state=array([ 0.83901546]), action=0, next_state=array([ 0.84716044]), reward=-0.8471604436884506)
Transition(state=array([ 0.84716044]), action=0, next_state=array([ 0.773244]), reward=-0.7732439953920052)
Transition(state=array([ 0.773244]), action=2, next_state=array([ 0.5507703]), reward=-0.5507702960267477)
Transition(state=array([ 0.5507703]), action=0, next_state=array([ 0.5125257]), reward=-0.5125257042550176)
Transition(state=array([ 0.5125257]), action=0, next_state=array([ 0.66797496]), reward=-0.6679749553931813)
Transition(state=array([ 0.66797496]), action=1, next_state=array([ 0.71134049]), reward=-0.7113404854082)
Transition(state=array([ 0.71134049]), action=1, next_state=array([ 0.7669274]), reward=-0.7669274030957814)
Transition(state=array([ 0.7669274]), action=2, next_state=array([ 0.54834016]), reward=-0.5483401564405032)
Transition(state=array([ 0.54834016]), action=0, next_state=array([ 0.6798611]), reward=-0.6798611048968357)
Transition(state=array([ 0.6798611]), action=0, next_state=array([ 0.68508444]), reward=-0.685084436172486)
Transition(state=array([ 0.68508444]), action=0, next_state=array([ 0.56179291]), reward=-0.5617929068785403)
Transition(state=array([ 0.56179291]), action=0, next_state=array([ 0.46831944]), reward=-0.46831943827566713)
Transition(state=array([ 0.46831944]), action=2, next_state=array([ 0.29628018]), reward=-0.29628018481464535)
Transition(state=array([ 0.29628018]), action=2, next_state=array([ 0.23121474]), reward=-0.23121474094055414)
Transition(state=array([ 0.23121474]), action=0, next_state=array([ 0.18734849]), reward=-0.18734848664223658)
Transition(state=array([ 0.18734849]), action=1, next_state=array([ 0.39073749]), reward=-0.3907374882304464)
Transition(state=array([ 0.39073749]), action=1, next_state=array([ 0.48421269]), reward=-0.4842126891560691)
Transition(state=array([ 0.48421269]), action=1, next_state=array([ 0.52516746]), reward=-0.525167455952174)
Transition(state=array([ 0.52516746]), action=2, next_state=array([ 0.61417605]), reward=-0.6141760545946718)
Transition(state=array([ 0.61417605]), action=2, next_state=array([ 0.42746189]), reward=-0.42746188827657217)
Transition(state=array([ 0.42746189]), action=1, next_state=array([ 0.63201964]), reward=-0.6320196448588257)
Transition(state=array([ 0.63201964]), action=1, next_state=array([ 0.80700205]), reward=-0.8070020453125805)
Transition(state=array([ 0.80700205]), action=0, next_state=array([ 0.64890248]), reward=-0.648902476797822)
Transition(state=array([ 0.64890248]), action=1, next_state=array([ 0.89019014]), reward=-0.8901901409725603)
Transition(state=array([ 0.89019014]), action=2, next_state=array([ 0.84518433]), reward=-0.845184333442089)
Transition(state=array([ 0.84518433]), action=0, next_state=array([ 0.66853513]), reward=-0.6685351297956229)
Transition(state=array([ 0.66853513]), action=0, next_state=array([ 0.47637019]), reward=-0.4763701942283432)
Transition(state=array([ 0.47637019]), action=0, next_state=array([ 0.34734141]), reward=-0.3473414053982278)
Transition(state=array([ 0.34734141]), action=1, next_state=array([ 0.43655821]), reward=-0.4365582119362623)
Transition(state=array([ 0.43655821]), action=0, next_state=array([ 0.55142134]), reward=-0.5514213377715058)
Transition(state=array([ 0.55142134]), action=0, next_state=array([ 0.53963549]), reward=-0.5396354930096173)
Transition(state=array([ 0.53963549]), action=0, next_state=array([ 0.59561193]), reward=-0.5956119260516344)
Transition(state=array([ 0.59561193]), action=1, next_state=array([ 0.55999521]), reward=-0.5599952132373526)
Transition(state=array([ 0.55999521]), action=2, next_state=array([ 0.58613136]), reward=-0.5861313594261367)
Transition(state=array([ 0.58613136]), action=0, next_state=array([ 0.3933189]), reward=-0.39331890157991056)
Transition(state=array([ 0.3933189]), action=2, next_state=array([ 0.42640967]), reward=-0.42640967087676296)
Transition(state=array([ 0.42640967]), action=2, next_state=array([ 0.28935078]), reward=-0.2893507815819102)
Transition(state=array([ 0.28935078]), action=0, next_state=array([ 0.41834466]), reward=-0.4183446635398157)
Transition(state=array([ 0.41834466]), action=1, next_state=array([ 0.60464711]), reward=-0.6046471050940053)
Transition(state=array([ 0.60464711]), action=0, next_state=array([ 0.57331287]), reward=-0.5733128727306459)
Transition(state=array([ 0.57331287]), action=2, next_state=array([ 0.44435235]), reward=-0.44435235076455926)
Transition(state=array([ 0.44435235]), action=2, next_state=array([ 0.27376202]), reward=-0.2737620213660349)
Transition(state=array([ 0.27376202]), action=2, next_state=array([-0.00798902]), reward=-0.007989018060351766)
Transition(state=array([-0.00798902]), action=2, next_state=array([-0.18819934]), reward=-0.18819933645200443)
Transition(state=array([-0.18819934]), action=0, next_state=array([-0.14228184]), reward=-0.14228183698976962)
Transition(state=array([-0.14228184]), action=1, next_state=array([-0.14234199]), reward=-0.14234198829936384)
Transition(state=array([-0.14234199]), action=2, next_state=array([-0.05254746]), reward=-0.052547462728176814)
Transition(state=array([-0.05254746]), action=0, next_state=array([ 0.14532761]), reward=-0.14532761195894658)
Transition(state=array([ 0.14532761]), action=0, next_state=array([ 0.26238793]), reward=-0.2623879314274846)
Transition(state=array([ 0.26238793]), action=1, next_state=array([ 0.40522513]), reward=-0.4052251319297533)
Transition(state=array([ 0.40522513]), action=0, next_state=array([ 0.31630833]), reward=-0.31630833082860277)
Transition(state=array([ 0.31630833]), action=1, next_state=array([ 0.41179684]), reward=-0.4117968382153485)
Transition(state=array([ 0.41179684]), action=0, next_state=array([ 0.57271295]), reward=-0.5727129515031573)
Transition(state=array([ 0.57271295]), action=0, next_state=array([ 0.45342839]), reward=-0.4534283913487931)
Transition(state=array([ 0.45342839]), action=0, next_state=array([ 0.59081929]), reward=-0.590819293342834)
Transition(state=array([ 0.59081929]), action=0, next_state=array([ 0.40209937]), reward=-0.40209937277528174)
Transition(state=array([ 0.40209937]), action=1, next_state=array([ 0.32396018]), reward=-0.32396018476464333)
Transition(state=array([ 0.32396018]), action=2, next_state=array([ 0.14055782]), reward=-0.14055781965797412)
Transition(state=array([ 0.14055782]), action=0, next_state=array([ 0.24794698]), reward=-0.2479469835418002)
Transition(state=array([ 0.24794698]), action=0, next_state=array([ 0.13290402]), reward=-0.13290401713774194)
Transition(state=array([ 0.13290402]), action=1, next_state=array([ 0.19718787]), reward=-0.1971878693478682)
Transition(state=array([ 0.19718787]), action=2, next_state=array([ 0.15731583]), reward=-0.15731582629885763)
Transition(state=array([ 0.15731583]), action=1, next_state=array([ 0.3841106]), reward=-0.38411059612375664)
Transition(state=array([ 0.3841106]), action=1, next_state=array([ 0.53162998]), reward=-0.5316299764232274)
Transition(state=array([ 0.53162998]), action=2, next_state=array([ 0.26868164]), reward=-0.26868164313556364)
Transition(state=array([ 0.26868164]), action=2, next_state=array([ 0.33263251]), reward=-0.3326325064026524)
Transition(state=array([ 0.33263251]), action=2, next_state=array([ 0.32314304]), reward=-0.3231430395645276)
Transition(state=array([ 0.32314304]), action=1, next_state=array([ 0.29147179]), reward=-0.29147179166393017)
Transition(state=array([ 0.29147179]), action=0, next_state=array([ 0.13743736]), reward=-0.13743735669657503)
Transition(state=array([ 0.13743736]), action=0, next_state=array([ 0.16446914]), reward=-0.16446913565018334)
Transition(state=array([ 0.16446914]), action=2, next_state=array([-0.06454733]), reward=-0.06454733136985155)
Transition(state=array([-0.06454733]), action=1, next_state=array([ 0.01067721]), reward=-0.010677211606268389)
Transition(state=array([ 0.01067721]), action=2, next_state=array([-0.14897887]), reward=-0.14897886990031567)
Transition(state=array([-0.14897887]), action=1, next_state=array([-0.13675124]), reward=-0.13675124343696402)
Transition(state=array([-0.13675124]), action=2, next_state=array([-0.1536426]), reward=-0.15364260073325675)
Transition(state=array([-0.1536426]), action=0, next_state=array([ 0.04580226]), reward=-0.04580226218082184)
